Periodo;Fecha;Pais;Unidad;Tipo Oferta;Potencia Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);Tipolog�a de Oferta;
H1Q1;26/11/2025;MI;;C;423,4;1.500,00;O;S;
H1Q1;26/11/2025;MI;;C;2,4;1.500,00;O;S;
H1Q1;26/11/2025;MI;;C;203,5;1.500,00;O;S;
H1Q1;26/11/2025;MI;;C;28,6;501,00;O;S;
H1Q1;26/11/2025;MI;;C;264,8;501,00;O;S;
H1Q1;26/11/2025;MI;;C;2.441,6;501,00;O;S;
H1Q1;26/11/2025;MI;;C;77,4;500,00;O;S;
H1Q1;26/11/2025;MI;;C;435,8;500,00;O;S;
H1Q1;26/11/2025;MI;;C;358,2;500,00;O;S;
H1Q1;26/11/2025;MI;;C;36,9;500,00;O;S;
H1Q1;26/11/2025;MI;;C;9,9;500,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;500,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;500,00;O;S;
H1Q1;26/11/2025;MI;;C;21,8;500,00;O;S;
H1Q1;26/11/2025;MI;;C;1,1;500,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;500,00;O;S;
H1Q1;26/11/2025;MI;;C;909,2;500,00;O;S;
H1Q1;26/11/2025;MI;;C;166,9;500,00;O;S;
H1Q1;26/11/2025;MI;;C;730,0;500,00;O;S;
H1Q1;26/11/2025;MI;;C;2,8;500,00;O;S;
H1Q1;26/11/2025;MI;;C;0,3;466,30;O;S;
H1Q1;26/11/2025;MI;;C;0,1;466,30;O;S;
H1Q1;26/11/2025;MI;;C;40,4;466,30;O;S;
H1Q1;26/11/2025;MI;;C;134,7;451,00;O;S;
H1Q1;26/11/2025;MI;;C;38,6;451,00;O;S;
H1Q1;26/11/2025;MI;;C;856,5;450,00;O;S;
H1Q1;26/11/2025;MI;;C;165,9;450,00;O;S;
H1Q1;26/11/2025;MI;;C;18,2;450,00;O;S;
H1Q1;26/11/2025;MI;;C;3,1;450,00;O;S;
H1Q1;26/11/2025;MI;;C;91,9;402,00;O;S;
H1Q1;26/11/2025;MI;;C;46,0;400,00;O;S;
H1Q1;26/11/2025;MI;;C;49,2;400,00;O;S;
H1Q1;26/11/2025;MI;;C;27,2;400,00;O;S;
H1Q1;26/11/2025;MI;;C;1.479,7;400,00;O;S;
H1Q1;26/11/2025;MI;;C;599,7;400,00;O;S;
H1Q1;26/11/2025;MI;;C;17,9;400,00;O;S;
H1Q1;26/11/2025;MI;;C;51,4;400,00;O;S;
H1Q1;26/11/2025;MI;;C;1,7;400,00;O;S;
H1Q1;26/11/2025;MI;;C;81,0;400,00;O;S;
H1Q1;26/11/2025;MI;;C;18,3;400,00;O;S;
H1Q1;26/11/2025;MI;;C;7,0;400,00;O;S;
H1Q1;26/11/2025;MI;;C;2,1;400,00;O;S;
H1Q1;26/11/2025;MI;;C;7,8;400,00;O;S;
H1Q1;26/11/2025;MI;;C;19,2;400,00;O;S;
H1Q1;26/11/2025;MI;;C;10,0;379,78;O;S;
H1Q1;26/11/2025;MI;;C;0,8;350,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;350,00;O;S;
H1Q1;26/11/2025;MI;;C;0,7;350,00;O;S;
H1Q1;26/11/2025;MI;;C;868,6;350,00;O;S;
H1Q1;26/11/2025;MI;;C;394,4;350,00;O;S;
H1Q1;26/11/2025;MI;;C;889,7;350,00;O;S;
H1Q1;26/11/2025;MI;;C;25,1;350,00;O;S;
H1Q1;26/11/2025;MI;;C;3.246,7;350,00;O;S;
H1Q1;26/11/2025;MI;;C;0,6;350,00;O;S;
H1Q1;26/11/2025;MI;;C;446,3;350,00;O;S;
H1Q1;26/11/2025;MI;;C;369,8;350,00;O;S;
H1Q1;26/11/2025;MI;;C;1,4;350,00;O;S;
H1Q1;26/11/2025;MI;;C;1,5;302,00;O;S;
H1Q1;26/11/2025;MI;;C;27,0;302,00;O;S;
H1Q1;26/11/2025;MI;;C;8,0;302,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;300,34;O;S;
H1Q1;26/11/2025;MI;;C;0,2;300,30;O;S;
H1Q1;26/11/2025;MI;;C;0,1;300,30;O;S;
H1Q1;26/11/2025;MI;;C;1,1;300,15;O;S;
H1Q1;26/11/2025;MI;;C;1,7;300,15;O;S;
H1Q1;26/11/2025;MI;;C;0,1;300,10;O;S;
H1Q1;26/11/2025;MI;;C;8,0;300,03;O;S;
H1Q1;26/11/2025;MI;;C;0,3;300,03;O;S;
H1Q1;26/11/2025;MI;;C;1,4;300,03;O;S;
H1Q1;26/11/2025;MI;;C;3,0;300,03;O;S;
H1Q1;26/11/2025;MI;;C;0,1;300,03;O;S;
H1Q1;26/11/2025;MI;;C;6,8;300,03;O;S;
H1Q1;26/11/2025;MI;;C;0,5;300,03;O;S;
H1Q1;26/11/2025;MI;;C;4,1;300,03;O;S;
H1Q1;26/11/2025;MI;;C;119,9;300,00;O;S;
H1Q1;26/11/2025;MI;;C;2,4;300,00;O;S;
H1Q1;26/11/2025;MI;;C;134,1;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,3;300,00;O;S;
H1Q1;26/11/2025;MI;;C;11,7;300,00;O;S;
H1Q1;26/11/2025;MI;;C;5,3;300,00;O;S;
H1Q1;26/11/2025;MI;;C;2,6;300,00;O;S;
H1Q1;26/11/2025;MI;;C;76,1;300,00;O;S;
H1Q1;26/11/2025;MI;;C;59,6;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,4;300,00;O;S;
H1Q1;26/11/2025;MI;;C;10,4;300,00;O;S;
H1Q1;26/11/2025;MI;;C;97,7;300,00;O;S;
H1Q1;26/11/2025;MI;;C;27,0;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,4;300,00;O;S;
H1Q1;26/11/2025;MI;;C;33,0;300,00;O;S;
H1Q1;26/11/2025;MI;;C;5,6;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,4;300,00;O;S;
H1Q1;26/11/2025;MI;;C;414,8;300,00;O;S;
H1Q1;26/11/2025;MI;;C;290,0;300,00;O;S;
H1Q1;26/11/2025;MI;;C;6,4;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,6;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,9;300,00;O;S;
H1Q1;26/11/2025;MI;;C;13,9;300,00;O;S;
H1Q1;26/11/2025;MI;;C;1,8;300,00;O;S;
H1Q1;26/11/2025;MI;;C;1,0;300,00;O;S;
H1Q1;26/11/2025;MI;;C;432,0;300,00;O;S;
H1Q1;26/11/2025;MI;;C;57,6;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,8;300,00;O;S;
H1Q1;26/11/2025;MI;;C;38,7;300,00;O;S;
H1Q1;26/11/2025;MI;;C;2,0;300,00;O;S;
H1Q1;26/11/2025;MI;;C;2,0;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,5;300,00;O;S;
H1Q1;26/11/2025;MI;;C;36,4;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;300,00;O;S;
H1Q1;26/11/2025;MI;;C;4,8;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;300,00;O;S;
H1Q1;26/11/2025;MI;;C;82,8;300,00;O;S;
H1Q1;26/11/2025;MI;;C;4,0;300,00;O;S;
H1Q1;26/11/2025;MI;;C;16,7;300,00;O;S;
H1Q1;26/11/2025;MI;;C;10,6;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,3;300,00;O;S;
H1Q1;26/11/2025;MI;;C;2,6;300,00;O;S;
H1Q1;26/11/2025;MI;;C;159,9;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,4;300,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;299,92;O;S;
H1Q1;26/11/2025;MI;;C;89,3;299,00;O;S;
H1Q1;26/11/2025;MI;;C;1,3;280,28;O;S;
H1Q1;26/11/2025;MI;;C;64,8;280,28;O;S;
H1Q1;26/11/2025;MI;;C;1,5;280,00;O;S;
H1Q1;26/11/2025;MI;;C;0,8;280,00;O;S;
H1Q1;26/11/2025;MI;;C;2,8;280,00;O;S;
H1Q1;26/11/2025;MI;;C;3,3;280,00;O;S;
H1Q1;26/11/2025;MI;;C;6,3;280,00;O;S;
H1Q1;26/11/2025;MI;;C;0,9;279,44;O;S;
H1Q1;26/11/2025;MI;;C;4,7;279,44;O;S;
H1Q1;26/11/2025;MI;;C;2,8;279,44;O;S;
H1Q1;26/11/2025;MI;;C;5,2;279,44;O;S;
H1Q1;26/11/2025;MI;;C;2,7;279,44;O;S;
H1Q1;26/11/2025;MI;;C;0,4;279,44;O;S;
H1Q1;26/11/2025;MI;;C;18,4;279,44;O;S;
H1Q1;26/11/2025;MI;;C;319,4;279,44;O;S;
H1Q1;26/11/2025;MI;;C;64,1;279,44;O;S;
H1Q1;26/11/2025;MI;;C;43,6;279,44;O;S;
H1Q1;26/11/2025;MI;;C;866,0;275,00;O;S;
H1Q1;26/11/2025;MI;;C;3,7;274,00;O;S;
H1Q1;26/11/2025;MI;;C;0,4;269,00;O;S;
H1Q1;26/11/2025;MI;;C;0,5;265,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;265,00;O;S;
H1Q1;26/11/2025;MI;;C;2,2;260,00;O;S;
H1Q1;26/11/2025;MI;;C;0,4;260,00;O;S;
H1Q1;26/11/2025;MI;;C;12,0;259,00;O;S;
H1Q1;26/11/2025;MI;;C;12,0;255,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;251,00;O;S;
H1Q1;26/11/2025;MI;;C;2,7;251,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;251,00;O;S;
H1Q1;26/11/2025;MI;;C;2,2;251,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;251,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;251,00;O;S;
H1Q1;26/11/2025;MI;;C;3,3;251,00;O;S;
H1Q1;26/11/2025;MI;;C;0,5;251,00;O;S;
H1Q1;26/11/2025;MI;;C;0,4;251,00;O;S;
H1Q1;26/11/2025;MI;;C;0,3;251,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;251,00;O;S;
H1Q1;26/11/2025;MI;;C;1,9;251,00;O;S;
H1Q1;26/11/2025;MI;;C;2,1;251,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;251,00;O;S;
H1Q1;26/11/2025;MI;;C;8,8;251,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;251,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;251,00;O;S;
H1Q1;26/11/2025;MI;;C;7,7;251,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;251,00;O;S;
H1Q1;26/11/2025;MI;;C;0,4;251,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;250,00;O;S;
H1Q1;26/11/2025;MI;;C;0,3;250,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;250,00;O;S;
H1Q1;26/11/2025;MI;;C;1,7;250,00;O;S;
H1Q1;26/11/2025;MI;;C;2,1;250,00;O;S;
H1Q1;26/11/2025;MI;;C;0,1;250,00;O;S;
H1Q1;26/11/2025;MI;;C;8,8;250,00;O;S;
H1Q1;26/11/2025;MI;;C;0,5;250,00;O;S;
H1Q1;26/11/2025;MI;;C;0,5;250,00;O;S;
H1Q1;26/11/2025;MI;;C;1,9;250,00;O;S;
H1Q1;26/11/2025;MI;;C;6,3;250,00;O;S;
H1Q1;26/11/2025;MI;;C;16,0;250,00;O;S;
H1Q1;26/11/2025;MI;;C;9,2;250,00;O;S;
H1Q1;26/11/2025;MI;;C;0,8;250,00;O;S;
H1Q1;26/11/2025;MI;;C;1,4;250,00;O;S;
H1Q1;26/11/2025;MI;;C;1,1;250,00;O;S;
H1Q1;26/11/2025;MI;;C;1,3;250,00;O;S;
H1Q1;26/11/2025;MI;;C;4,6;250,00;O;S;
H1Q1;26/11/2025;MI;;C;0,3;250,00;O;S;
H1Q1;26/11/2025;MI;;C;1,4;250,00;O;S;
H1Q1;26/11/2025;MI;;C;1,5;250,00;O;S;
H1Q1;26/11/2025;MI;;C;0,3;250,00;O;S;
H1Q1;26/11/2025;MI;;C;2,2;250,00;O;S;
